title,comments,age,thread
newest album lucid open feedback comments questions album reflects individual represents emotion dream like presence music credited really draw anything specific really thanks,0,15665.111835392318,rock
promise ring mineral point,0,15741.911835392317,rock
william duvall revisits first joining alice chains fighting right exist,0,16319.645168725649,rock
pass catastrophe pretty lady indie,0,15984.228502058982,rock
alter bridge dying light,1,16381.211835392316,rock
crimson witch satanic panic full album,1,16026.44516872565,rock
beatles fleetwood mac oasis elton john returning billboard album charts,0,16404.828502058983,rock
blondie flesh,2,16960.17850205898,rock
yes changes,2,17256.54516872565,rock
southern smoke stuck floors,0,16534.278502058984,rock
steve miller band fly like eagle original demo,0,16566.828502058983,rock
jesse j smith kingdoms rhythm,1,16430.978502058984,rock
van halen fools women children first,0,17116.54516872565,rock
would say golden age rock specific,5,17047.29516872565,rock
go go vacation,0,17380.89516872565,rock
breaking benjamin angels fall dark dawn official video,1,16478.67850205898,rock
lakota hope haunted,0,16598.628502058982,rock
cloud house drive debut single,0,16675.028502058984,rock
jonathan richman something mary,0,17596.328502058983,rock
belinda carlisle heaven place earth,0,17382.39516872565,rock
lou gramm midnight blue,6,17269.711835392318,rock
side b low budget romance ep,0,17080.511835392317,rock
anarchy initiative,0,17170.695168725648,rock
icehouse electric blue,0,17272.34516872565,rock
sugarcult phase,0,17322.09516872565,rock
depeche mode rush,2,18402.41183539232,rock
paul simon obvious child,1,17716.011835392317,rock
return arms ruin reputation,0,17783.828502058983,rock
god god desire,0,18083.36183539232,rock
white reaper explains ages community gave band start,0,19289.56183539232,rock
muuk seis ausente faeton music blog,1,18255.195168725648,rock
devo uncontrollable urge,1,19843.878502058986,rock
little us something real music video,1,19113.64516872565,rock
fload overlove,0,19098.31183539232,rock
edgar allan poets ubiquity rock,0,19168.36183539232,rock
think artists best consistent discographies,5,19203.711835392318,rock
led zeppelin immigrant song,6,20875.24516872565,rock
eagles life fast lane,1,20126.17850205898,rock
stone poneys ft linda ronstadt different drum,0,19847.728502058984,rock
bats mice hallway,0,19477.49516872565,rock
tell us first ever rock concert festival,10,20341.26183539232,rock
replacements bent shape,0,20185.42850205898,rock
sleater kinney dig,0,20460.878502058986,rock
silversun pickups well thought twinkles carnavas,0,20058.978502058984,rock
queen stone cold crazy,6,21522.728502058984,rock
harley poe eat shit die,0,20308.99516872565,rock
doves day soon,0,20371.11183539232,rock
zebra time ballad rock,0,20744.14516872565,rock
first aid kit well aware,0,20901.211835392318,rock
aran prog project cambrian,0,20932.26183539232,rock
anyone know chinese song beginning ataraxia team sleep,0,21579.828502058983,rock
jonny craig taking time wrong things,0,21654.04516872565,rock
europe carrie,0,21489.09516872565,rock
tom waits lie tough categorize,1,21656.76183539232,rock
prince revolution let go crazy,0,22746.961835392318,rock
budos band volcano song,0,21666.711835392318,rock
isley brothers shout,0,21556.76183539232,rock
rapture races onto track,0,21676.695168725648,rock
brian chanel opening selection mission marquee theatre,0,21748.828502058983,rock
bob welch sentimental lady,0,21807.67850205898,rock
casquetaria ao vivo na paulista live,0,22208.211835392318,rock
new band southern minnesota left unread see,1,22209.478502058984,rock
black star coming get amigo,0,22351.84516872565,rock
john clark bailey jr betray experimental rock,0,23327.14516872565,rock
hollerado juliette,0,22723.478502058984,rock
temple dog say hello heaven,2,24363.54516872565,rock
set stun ill gift infusion,0,23098.04516872565,rock
clutch electric worry,0,24055.728502058984,rock
hot piece ass reality kings porn punk,0,23567.528502058984,rock
cramps mojo man mars,0,24248.445168725648,rock
every idle hour unluckiest,0,23750.961835392318,rock
history rock early,0,24694.878502058986,rock
olympic year nothing something,0,24479.01183539232,rock
interview josh homme new desert sessions,0,25133.14516872565,rock
h u witching hour new album,0,24573.378502058986,rock
palaye royale dying hot tub,0,25354.628502058986,rock
thing south sedation prog rock,0,24809.428502058978,rock
going glourious sons war everything tour,2,24889.228502058984,rock
smoke stack rhino doom boogie,0,24902.79516872565,rock
myth creation debut release trials available digital platforms,0,24918.478502058984,rock
foo fighters songs laundry room ep,0,25821.86183539232,rock
bonnie raitt love like man ogwt appearance,0,26043.84516872565,rock
opinion joan jett solo version cherry bomb better original,0,25574.76183539232,rock
new order ceremony,0,26059.178502058978,rock
starboard sensory story j rock,0,25261.211835392318,rock
attlus untitled working something new,7,26070.078502058983,rock
would american mainstream like rap pop music never existed,11,26417.945168725648,rock
black pistol fire lost cause,2,26801.278502058984,rock
dropout year across room,0,25804.06183539232,rock
boy sea heart wide open,1,25850.628502058986,rock
southern smoke saturday boys,2,26396.528502058984,rock
feeder bitter glass,0,26174.728502058984,rock
cure burn,0,27357.86183539232,rock
anomia estas en tu mente new album,1,26534.01183539232,rock
placebo scared girls,0,26667.678502058978,rock
new york city based live music poscast latest episode pond show warsaw,0,26537.39516872565,rock
johnny kick hole sky red hot chili peppers,0,27133.478502058984,rock
vedettes say,0,26590.51183539232,rock
huey lewis news love killin back,5,27667.14516872565,rock
majesty revival sinners saints,0,27057.24516872565,rock
dreamcatcher deja vu collaboration rpg game king raid,0,27092.61183539232,rock
stuntman spyz,0,27118.461835392318,rock
joy division new dawn fades,7,28504.99516872565,rock
tonight boston red sky mary black dagger,0,27594.695168725648,rock
bob dylan blood tracks album,0,27631.528502058984,rock
melodic marriage starset anime rock band,0,27321.04516872565,rock
soundpact blonde black,0,27587.728502058984,rock
filter type suffocation rock,0,28302.09516872565,rock
mylk fault,0,28766.911835392315,rock
mountain theme imaginary western,0,29516.79516872565,rock
beths future hates,0,29513.14516872565,rock
kikagaku moyo pumphouse jam,1,28946.911835392315,rock
andy mccoy band around bend live,1,28898.695168725648,rock
may calculate,0,28822.411835392315,rock
living colour cult personality,13,30258.328502058983,rock
killswitch engage last serenade alive breathing official music video,1,29373.36183539232,rock
remains deepest gray darkened heart official music video,0,29369.24516872565,rock
shadows fall fire babylon art balance,0,29371.54516872565,rock
chimaira impossibility reason official music video,0,29365.028502058984,rock
unearth zombie autopilot oncoming storm official music video,0,29366.79516872565,rock
need help naming popular dead rock artists poster,2,29284.661835392315,rock
local sound style get j rock,0,29565.678502058978,rock
marco benevento let slide full album,0,29361.678502058978,rock
dirty honey rolling rock blues rock,0,30581.04516872565,rock
new rock band bizarre mating ritual kinda rulz,0,30092.11183539232,rock
promise ring sea cortez,0,30258.29516872565,rock
opinions watching older bands perform time,14,30995.29516872565,rock
skid row youth gone wild,2,31854.661835392315,rock
high school rock band got banned playing school,2,30353.778502058984,rock
seed nail,0,30932.26183539232,rock
love life queen,1,30744.328502058983,rock
ali azmat tera mera album klashinfolk,0,31612.128502058986,rock
ian gillian peak vocal years,3,31854.578502058983,rock
years gone follow home,0,31928.578502058983,rock
nick cave bad seeds red right hand,1,32637.528502058984,rock
hard rock contour fans thrice brand new three days grace etc,0,31681.39516872565,rock
incubus stellar,2,32934.628502058986,rock
west skyward momentary lapse,0,32262.911835392315,rock
farewell fed fire,0,32267.49516872565,rock
gochi dessert cheesy electronic rock song,0,32375.84516872565,rock
brutal one star review steel panther nme,1,32280.59516872565,rock
ocean colour scene day caught train,0,32791.29516872565,rock
patients muse,0,32959.01183539232,rock
straylight run another word desperate,0,33154.378502058986,rock
help support favorite local band collide right songs excellent,0,32798.16183539232,rock
,0,33648.34516872565,rock
billy talent surrender,3,34165.09516872565,rock
open hand radio days,0,34705.09516872565,rock
aweful kanawful calico girl rochester ny,4,34775.57850205898,rock
gravity circus chupacabra,0,35169.91183539232,rock
alive,0,34500.34516872565,rock
isabelle hyde alternative rock,0,34812.378502058986,rock
god god dream,0,35378.978502058984,rock
sunstorm joe lynn turner edge tomorrow,1,35195.29516872565,rock
somebody else official minecraft parody,0,34884.41183539232,rock
greg holden lost boy discovered whilst watching sons anarchy years ago haunting song fitting send opie character,0,35399.34516872565,rock
addition grunge,3,36429.89516872565,rock
iron maiden sea madness,2,36244.84516872565,rock
keep lyrics going,5,35663.09516872565,rock
living colour funny vibe,0,36169.77850205898,rock
blink run away,0,36120.128502058986,rock
touch buffalo new album heart,1,36317.57850205898,rock
soft rock songs think deceptively calm actually make feel uneasy depressed first songs come mind beatles dear prudence especially esher demo vu sunday morning dead stella blue,41,37246.66183539232,rock
antivalent saint healer alt rock,0,36275.59516872565,rock
donovan atlantis,0,36306.57850205898,rock
marshall crenshaw someday someway,0,36307.128502058986,rock
bullets octane pirates,2,36596.76183539232,rock
casquetaria van ride new release,0,36551.24516872565,rock
clash guns brixton,0,37629.29516872565,rock
joe walsh city,1,37159.07850205898,rock
one pixies join morning joe,0,36549.29516872565,rock
novacub care,0,36791.94516872565,rock
faith small victory,9,37805.46183539232,rock
carlyle laurent messing new track feedback appreciated,0,36960.54516872565,rock
chuck mosley vua enabler ft jonathan davis john,0,37122.41183539232,rock
stan bush got touch transformers animated music videos,0,38539.86183539232,rock
talking heads born punches heat goes,1,38541.72850205898,rock
mudvayne forget remember lost found,0,38024.94516872565,rock
former tnt singer tony mills dies,0,37566.46183539232,rock
volbeat cheapside sloggers,2,38626.84516872565,rock
journey,0,39166.29516872565,rock
ezra furman body made,0,39286.47850205898,rock
captain kill monument,0,38974.77850205898,rock
el cafe atomico gasoline vertigo sci fi blues first single upcoming album listen enjoy smell fuck love hate idk tell whatchu think subscribe like bb,0,39202.36183539232,rock
gone pieces johnny john schemin dreamers,0,39468.99516872565,rock
michael monroe last train tokyo official video,2,39477.36183539232,rock
lamb god got something die ashes wake,1,39599.11183539232,rock
bob mould writing new solo album sunshine rock guy bucket running around catching rainwater,0,40162.74516872565,rock
anyone outside quebec check offenbach les plus grands succ,0,40276.19516872565,rock
rex cosmic dancer,0,40582.378502058986,rock
dire straits tunnel love,0,40564.39516872565,rock
glossary days go,0,40324.71183539232,rock
meat puppets backwater,9,41542.66183539232,rock
links hot christmases live studio,0,40616.57850205898,rock
project reverse lost single,0,40656.04516872565,rock
priests big bang,0,40717.42850205898,rock
paul stanley live win,1,41027.34516872565,rock
van der graaf generator man erg,0,40812.54516872565,rock
google doodle b b king th birthday rip legend,2,42411.44516872565,rock
june city,0,41055.72850205898,rock
ox fade away,0,41157.56183539231,rock
papa roach come around try cry face,1,41650.97850205898,rock
podcast interview struts,0,42024.47850205898,rock
glass armour wishful cinematic instrumental rock,0,41705.01183539232,rock
cool hear fleetwood mac played auckland kiwi member neil finn given props playing tunes split enz crowded house cool,0,42698.44516872565,rock
cold kitchen ashita sekai ga owarutoshitara j rock,0,41827.54516872565,rock
riverman oh baby,0,41860.06183539231,rock
deer tick look clean,0,41934.42850205898,rock
berry lefthand gone sleep,0,42100.97850205898,rock
ric ocasek cars found dead,4,43194.14516872565,rock
killers mr brightside,20,43693.128502058986,rock
perfect circle judith,2,43277.72850205898,rock
cars dangerous type,2,43102.14516872565,rock
nada surf popular,0,42894.99516872565,rock
fire blue stones whole album goddamn masterpiece,0,43071.47850205898,rock
unwound lady elect,0,42481.61183539232,rock
interview john bechdel ministry,0,42845.94516872565,rock
fragile darkness,0,42694.42850205898,rock
something way postrock,0,42847.22850205898,rock
rolling stones gimme shelter,0,43610.22850205898,rock
magazine shot sides,0,43393.71183539232,rock
stone roses wanna adored,1,44467.395168725656,rock
biotic engine almost touch,0,43759.57850205898,rock
drumcam,0,43593.27850205898,rock
sex pistols god save queen,2,45069.145168725656,rock
highly suspect wolf,2,44867.245168725654,rock
living colour love rears ugly head,0,44839.645168725656,rock
jawbox dreamless,0,44381.56183539231,rock
public image ltd poptones,1,45072.895168725656,rock
pantera minutes alone far beyond driven official music video,1,44947.92850205898,rock
bryan adams somebody,0,45068.16183539231,rock
miss june bad luck party full album,0,45174.19516872565,rock
eddie money shakin,2,46260.29516872566,rock
drippers action rock songs minutes get heart pumpin,1,45041.26183539232,rock
michael bolton everybody crazy,0,45778.17850205898,rock
megadeth angry last action hero soundtrack,4,46449.17850205898,rock
eddie money dead,5,46686.06183539231,rock
low cracker,1,45850.395168725656,rock
nothing fade fade music video,0,46180.42850205898,rock
dead kennedys police truck,0,46536.44516872565,rock
ball chain new song,2,46542.79516872566,rock
palehound healthier folk,1,46316.16183539231,rock
guys,3,46978.79516872566,rock
somebody list judas priest albums least metal,5,46385.34516872565,rock
faust rainy day sunshine girl,0,46556.44516872565,rock
surfbort slushy official music video punk,1,46617.66183539231,rock
david bowie cat people putting fire,4,47087.395168725656,rock
ricky nelson lonesome town,1,47668.16183539231,rock
modern lovers roadrunner,0,47090.47850205898,rock
glorious sons ongoing speculation death rock roll,0,47216.71183539232,rock
grandson modern tragedy vol ep,1,47669.77850205899,rock
ghost kiss go goat,3,47984.06183539231,rock
first concert interview taken sep concert toronto,0,48051.22850205898,rock
serious question hysteria pyromania def leppard general people like much,8,47253.67850205898,rock
sensational alex harvey band man jar,0,47553.17850205898,rock
avenged sevenfold means war x relevant metallica nowadays sad true afraid,15,48359.54516872566,rock
sleeping believe tell,0,47539.42850205898,rock
early humans waste pt ii,0,47961.59516872565,rock
oasis girl dirty shirt,2,48939.06183539231,rock
tom keifer death,0,48260.51183539232,rock
carly simon way always heard,0,48689.59516872565,rock
buckethead aunt suzie,2,49220.31183539231,rock
neon dreaming valis ablaze prog rock tech rock,0,48719.47850205898,rock
sammy hagar circle hang,1,48920.21183539232,rock
blue october ocean,1,49329.69516872565,rock
prove dark japan,0,49018.19516872565,rock
frijid pink underrated gem,2,49079.41183539231,rock
jun senoue creating music team sonic racing future video gaming music,0,49833.378502058986,rock
new york dolls vietnamese baby,0,49327.86183539232,rock
lizzy borden question,1,49599.07850205898,rock
nirvana sleep last night mtv unplugged,6,50976.378502058986,rock
legendary rock station wmmr annual z,7,50369.27850205899,rock
elvis presley surrender,0,50554.17850205898,rock
roos rooster vol lost found nw country rock,0,50528.26183539232,rock
need help iding song,8,50316.97850205898,rock
chuck berry particular place go,1,51717.69516872565,rock
upon dead body short n sweet track broke streams original music incredibly upbeat think like thank,0,50454.19516872565,rock
park bench blind turn,0,50494.09516872565,rock
jane addiction suffer,0,50772.22850205898,rock
linda ronstadt long long time,1,50786.72850205898,rock
def leppard stagefright,0,51718.86183539232,rock
colours red nuclear holiday,0,50805.895168725656,rock
hanoverian dream end class busy september afternoon music slightly heavier sound rock roll influence parts,0,50963.66183539231,rock
hella biblical violence math rock,0,50974.36183539232,rock
kiss years alive years ago today one famous live albums history first released,0,51043.84516872565,rock
planeshifter icarus metal,0,51059.26183539232,rock
nightwish phantom opera end era matter many times listen always gives chills,1,51061.878502058986,rock
epica sancta terra featuring floor jansen nightwish,1,51084.42850205898,rock
hey r rock highschool choir opportunity sing foreigner concert need votes help appreciated,3,52554.628502058986,rock
henley heart matter,0,51678.77850205899,rock
monster truck tell live,2,51450.76183539232,rock
stooges popular,11,51791.09516872565,rock
anyone help identify song playing background video,0,51604.76183539232,rock
green day jesus suburbia,2,52472.59516872565,rock
